Question,Choice1,Choice2,Choice3,Choice4,Answer
"図面範囲・グリッド範囲外にオブジェクトを作成できるかどうかをコントロールするシステム変数は？","LIMITVERIFY","CHECKLIMITS","RESTRICTCHECK","LIMCHECK","LIMCHECK"
"図面全体の線種尺度(グローバル線種尺度)を設定するシステム変数は？","GLOBALLINETYPESCALE","LINETYPEGLOBAL","SCALELINECTL","LTSCALE","LTSCALE"
"ペーパー空間のビューポートに表示されるオブジェクトの線種尺度をコントロールするシステム変数は？","PAPERLINETYPESCALE","VIEWPORTLINETYPE","PSLINETYPESCALE","PSLTSCALE","PSLTSCALE"
"現在のオブジェクトの線種尺度を設定するシステム変数は？","BLOCKLINETYPESCALE","CELLTYPESCALING","BLOCKSCL","CELTSCALE","CELTSCALE"
"グループ選択と自動調整ハッチング選択をコントロールするシステム変数は？","SELECTIONSTYLE","OBJECTPICKMODE","STYLEPICKCTRL","PICKSTYLE","PICKSTYLE"
"画面外のオブジェクトを選択の対象とするかどうかを管理するシステム変数は？","OFFSCREENPICKING","OUTOFSCREENSELECT","NONVISIBLESELECTION","SELECTIONOFFSCREEN","SELECTIONOFFSCREEN"
"描画時のアンチエイリアシング効果を管理し、曲線や斜めの線を滑らかに表示するかどうかを指定するシステム変数は？","ANTIALIASEMODE","SMOOTHRENDER","LINEFILTERMODE","LINESMOOTHING","LINESMOOTHING"
"現在の選択セットに、新たに選択したオブジェクトを追加するかどうかを指定するシステム変数は？","MULTISELECTMODE","SELECTADDITION","ADDITIVEPICK","PICKADD","PICKADD"
"外部参照のクリップ境界表示を管理するシステム変数は？","CLIPBOUNDCTRL","XREFCLIPMODE","EXTREFFRAME","XCLIPFRAME","XCLIPFRAME"
"ハッチングおよび塗り潰し、幅のあるポリラインを塗り潰すかどうかを指定するシステム変数は？","HATCHINGDISPLAY","PATTERNSHOWMODE","SOLIDFILLSETTING","FILLMODE","FILLMODE"
